                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4425,                  1.452,                 1.4705,                0.57141,                0.28121,                0.34216,                0.17172,                 1.6844,                 1.5673,                 1.7097,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.4384,                  1.393,                 1.4477,                0.43745,                0.34226,                0.32699,                0.17339,                 1.5989,                  1.457,                 1.6294,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.5005,                 1.4433,                 1.4619,                0.38187,                0.38463,                0.36301,                0.18509,                  1.653,                 1.5239,                 1.7016,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.4075,                 1.3644,                 1.4838,                0.35829,                0.38705,                0.39249,                0.19045,                 1.6349,                 1.5197,                 1.6966,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.3349,                  1.298,                  1.401,                0.57649,                0.37439,                0.41768,                0.20214,                 1.6259,                 1.4869,                 1.6637,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.3731,                 1.3273,                   1.45,                0.46644,                0.41285,                0.40904,                0.19296,                  1.622,                 1.4289,                  1.668,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.3031,                 1.2309,                  1.388,                0.43451,                0.45975,                0.43636,                0.22152,                 1.5835,                 1.3659,                 1.6537,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.2682,                 1.1963,                 1.4008,                 0.5574,                0.37998,                0.42978,                0.21751,                 1.6129,                 1.4033,                 1.6705,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.2802,                 1.1674,                 1.4165,                0.50153,                0.44499,                0.40931,                0.21622,                  1.649,                 1.4344,                 1.6956,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.2167,                  1.097,                 1.3746,                0.43948,                0.41285,                 0.3924,                0.21497,                 1.6463,                 1.4333,                 1.7036,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.2021,                 1.0085,                 1.3229,                0.58816,                0.47079,                0.43445,                0.22703,                 1.6465,                  1.394,                 1.7292,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.2112,                 1.0212,                 1.3878,                0.67971,                0.41967,                 0.4379,                0.22706,                 1.5921,                  1.313,                 1.6899,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.1715,                 1.0087,                 1.3567,                0.65161,                0.43866,                0.44876,                0.23552,                 1.5853,                 1.2617,                 1.6685,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.2135,                 1.0214,                 1.3822,                0.57155,                0.43866,                0.47737,                0.25419,                 1.5568,                 1.2624,                 1.6544,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.1447,                0.97016,                 1.3389,                0.59915,                0.50243,                0.53475,                0.25786,                  1.626,                 1.2701,                 1.6934,             0.00011569,             0.00011569,             0.00011569
                     49,                  1.107,                 0.9443,                 1.3064,                0.64208,                0.47079,                0.51097,                0.24821,                 1.6333,                 1.2734,                 1.6966,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.1002,                0.88967,                 1.2767,                0.65406,                0.51558,                0.51267,                0.24417,                 1.6356,                 1.2692,                  1.703,             4.9677e-05,             4.9677e-05,             4.9677e-05
